O: (4.000000, 4.000000)
A: (4.000000, 0.000000)
B: (4.000000, 8.000000)
8.000000,4.000000
7.992107,4.251162
7.968459,4.501333
7.929149,4.749525
7.874333,4.994760
7.804226,5.236068
7.719106,5.472498
7.619308,5.703117
7.505227,5.927015
7.377312,6.143307
7.236068,6.351141
7.082053,6.549696
6.915875,6.738188
6.738188,6.915875
6.549696,7.082053
6.351141,7.236068
6.143307,7.377312
5.927015,7.505227
5.703117,7.619308
5.472498,7.719106
5.236068,7.804226
4.994760,7.874333
4.749525,7.929149
4.501333,7.968459
4.251162,7.992107
4.000000,8.000000
3.748838,7.992107
3.498667,7.968459
3.250475,7.929149
3.005240,7.874333
2.763932,7.804226
2.527502,7.719106
2.296883,7.619308
2.072985,7.505227
1.856693,7.377312
1.648859,7.236068
1.450304,7.082053
1.261812,6.915875
1.084125,6.738188
0.917947,6.549696
0.763932,6.351141
0.622688,6.143307
0.494773,5.927015
0.380692,5.703117
0.280894,5.472498
0.195774,5.236068
0.125667,4.994760
0.070851,4.749525
0.031541,4.501333
0.007893,4.251162
0.000000,4.000000
0.007893,3.748838
0.031541,3.498667
0.070851,3.250475
0.125667,3.005240
0.195774,2.763932
0.280894,2.527502
0.380692,2.296883
0.494773,2.072985
0.622688,1.856693
0.763932,1.648859
0.917947,1.450304
1.084125,1.261812
1.261812,1.084125
1.450304,0.917947
1.648859,0.763932
1.856693,0.622688
2.072985,0.494773
2.296883,0.380692
2.527502,0.280894
2.763932,0.195774
3.005240,0.125667
3.250475,0.070851
3.498667,0.031541
3.748838,0.007893
4.000000,0.000000
4.251162,0.007893
4.501333,0.031541
4.749525,0.070851
4.994760,0.125667
5.236068,0.195774
5.472498,0.280894
5.703117,0.380692
5.927015,0.494773
6.143307,0.622688
6.351141,0.763932
6.549696,0.917947
6.738188,1.084125
6.915875,1.261812
7.082053,1.450304
7.236068,1.648859
7.377312,1.856693
7.505227,2.072985
7.619308,2.296883
7.719106,2.527502
7.804226,2.763932
7.874333,3.005240
7.929149,3.250475
7.968459,3.498667
7.992107,3.748838
